"Device Vendor","Market Share Perc. (Oct 2022 - Oct 2023)"
"Samsung",62.8
"Apple",31.04
"Unknown",2.9
"LG",2.1
"Xiaomi",0.56
"Oppo",0.11
"Huawei",0.1
"Lenovo",0.08
"Vivo",0.07
"Google",0.05
"Realme",0.04
"Sony",0.03
"Motorola",0.02
"OnePlus",0.02
"Infinix",0.01
"Other",0.06
