DATA,CLARO-5G,TIM-5G,VIVO-5G,ALGAR-5G,TODAS-5G
09/2022,37,32,37,0,53
10/2022,39,32,39,0,57
11/2022,49,33,40,3,71
12/2022,52,33,43,3,76
01/2023,53,34,49,4,81
02/2023,58,34,62,4,91
03/2023,58,49,68,3,97
04/2023,75,51,91,4,129
05/2023,78,56,111,4,143
06/2023,90,92,120,4,172
07/2023,101,148,131,4,209
08/2023,116,175,142,4,234
09/2023,156,191,152,4,278
